小说名,想,走,说道,笑,太,听,吃,时间,住,东西,钱,事情,脸,找,想到,坐,站,心中,名,回,发现,感觉,跑,第一,身体,身上,声音,眼睛,岁,地方,条,世界,听到,气,问道,件,脸上,自然,喝,穿,回来,杀,明白,儿子,干,终于,皇帝,买,兄弟,只能,一阵,孩子,众人,公子,之中,父亲,来到,说话,掉,手中,块,大人,面前,地上,将军,系统,不错,少年,眼前,目光,肯定,刀,字,刚刚,离开,副,卖,小子,送,少爷,曹操,实在,女人,算是,情况,好像,母亲,拉,大哥,水,穿越,写,家伙,身边,落,停,士兵,李,力量,不好,书,回去,办法,历史,王,时代,修炼,米,哥哥,丝,很快,娘,飞,名字,微微,身后,只见,小姐,喜欢,跳,夫人,远,机会,拍,喊,剑,酒,抓,女子,女孩,衣服,便是,旁边,连忙,发生,女,游戏,脑袋,工作,男子,生活,告诉,少女,姑娘,摇,男人,原本,股,仿佛,传来,学,银子,张搴,天下,老师,本来,床,老爷,公司,抱,速度,乱,跟着,同学,弄,魔法,能力,部落,吕布,抬,刘备,弟子,见到,陛下,露出,开口,回到,找到,外面,慢慢,学生,贾环,白七,实力,发,希望,脸色,家里,朋友,楼,手里,胖子,赶紧,玩,皇上,中国,此刻,身份,份,今日,class
大秦之帝国再起,0.000519,0.000242,0.000121,5.20E-05,0.00019,0.000138,5.20E-05,0.000207,0.000225,1.70E-05,0.703418,1.70E-05,0.000242,6.90E-05,8.60E-05,3.50E-05,0.000121,5.20E-05,0.000138,6.90E-05,1.70E-05,1.70E-05,1.70E-05,0.000121,0.000259,0.000242,0.000225,0.000121,0.000242,5.20E-05,5.20E-05,5.20E-05,5.20E-05,3.50E-05,1.70E-05,6.90E-05,0.000173,1.70E-05,1.70E-05,0.00019,6.90E-05,0.00019,0.000121,1.70E-05,5.20E-05,1.70E-05,1.70E-05,0.703418,3.50E-05,8.60E-05,6.90E-05,1.70E-05,8.60E-05,1.70E-05,0.000467,5.20E-05,6.90E-05,3.50E-05,0.000207,0.000138,0.000104,3.50E-05,0.000104,8.60E-05,0.000674,3.50E-05,1.70E-05,8.60E-05,8.60E-05,0.000104,1.70E-05,3.50E-05,6.90E-05,8.60E-05,3.50E-05,0.703418,0.703418,1.70E-05,3.50E-05,8.60E-05,1.70E-05,1.70E-05,5.20E-05,0.000104,1.70E-05,0.000173,5.20E-05,5.20E-05,0.000553,3.50E-05,0.000156,1.70E-05,6.90E-05,1.70E-05,3.50E-05,0.000121,1.70E-05,0.703418,3.50E-05,6.90E-05,0.703418,5.20E-05,3.50E-05,0.000605,0.703418,8.60E-05,1.70E-05,0.000156,1.70E-05,0.000242,0.000121,5.20E-05,0.000277,3.50E-05,0.000225,0.000104,3.50E-05,0.000432,8.60E-05,5.20E-05,0.001331,0.000104,6.90E-05,1.70E-05,0.703418,1.70E-05,8.60E-05,6.90E-05,1.70E-05,5.20E-05,1.70E-05,1.70E-05,1.70E-05,1.70E-05,1.70E-05,5.20E-05,0.703418,5.20E-05,1.70E-05,1.70E-05,1.70E-05,1.70E-05,5.20E-05,5.20E-05,0.703418,5.20E-05,5.20E-05,0.000242,0.000138,8.60E-05,3.50E-05,1.70E-05,0.703418,1.70E-05,1.70E-05,5.20E-05,0.703418,1.70E-05,0.703418,1.70E-05,0.00019,5.20E-05,1.70E-05,1.70E-05,0.703418,1.70E-05,3.50E-05,3.50E-05,1.70E-05,6.90E-05,5.20E-05,1.70E-05,1.70E-05,0.000328,8.60E-05,0.000104,1.70E-05,6.90E-05,8.60E-05,3.50E-05,1.70E-05,0.703418,1.70E-05,1.70E-05,1.70E-05,5.20E-05,1.70E-05,0.000121,1.70E-05,0.703418,0.000138,1.70E-05,1.70E-05,1.70E-05,0.001435,1.70E-05,5.20E-05,3.50E-05,3.50E-05,1.70E-05,succ
大清弊主,0.000892,0.000491,0.000223,0.000491,0.000736,0.000312,4.50E-05,0.000134,0.000223,2.20E-05,2.20E-05,0.000178,0.000112,0.000134,0.00029,0.000268,0.000156,4.50E-05,0.000156,0.000134,2.20E-05,6.70E-05,8.90E-05,0.001004,0.000223,4.50E-05,4.50E-05,6.70E-05,0.000156,2.20E-05,0.709704,2.20E-05,0.000245,6.70E-05,4.50E-05,0.000178,2.20E-05,2.20E-05,6.70E-05,0.000156,0.000134,0.709704,2.20E-05,0.709704,4.50E-05,4.50E-05,2.20E-05,0.709704,6.70E-05,4.50E-05,0.000112,4.50E-05,2.20E-05,0.709704,0.000134,4.50E-05,0.000156,8.90E-05,0.000178,8.90E-05,0.709704,0.00058,2.20E-05,2.20E-05,0.000491,0.709704,6.70E-05,2.20E-05,6.70E-05,4.50E-05,2.20E-05,0.709704,2.20E-05,6.70E-05,2.20E-05,2.20E-05,4.50E-05,0.000134,6.70E-05,2.20E-05,0.709704,4.50E-05,0.000156,0.000178,4.50E-05,0.000156,0.709704,4.50E-05,2.20E-05,4.50E-05,2.20E-05,6.70E-05,2.20E-05,4.50E-05,2.20E-05,0.000112,0.709704,0.709704,2.20E-05,2.20E-05,2.20E-05,2.20E-05,2.20E-05,6.70E-05,2.20E-05,2.20E-05,0.709704,2.20E-05,2.20E-05,0.709704,0.000201,0.709704,6.70E-05,2.20E-05,2.20E-05,6.70E-05,2.20E-05,0.000134,2.20E-05,8.90E-05,0.001584,4.50E-05,0.000223,0.709704,8.90E-05,0.709704,0.709704,2.20E-05,2.20E-05,2.20E-05,8.90E-05,2.20E-05,0.000156,6.70E-05,2.20E-05,0.000156,0.000156,4.50E-05,4.50E-05,4.50E-05,2.20E-05,0.000112,2.20E-05,0.709704,0.709704,4.50E-05,2.20E-05,2.20E-05,0.709704,0.000134,4.50E-05,0.709704,0.000223,0.000268,0.709704,6.70E-05,0.000268,0.000134,0.709704,0.709704,6.70E-05,2.20E-05,4.50E-05,4.50E-05,2.20E-05,0.709704,0.000156,2.20E-05,0.709704,2.20E-05,0.709704,0.709704,2.20E-05,0.000268,4.50E-05,8.90E-05,0.000134,2.20E-05,2.20E-05,4.50E-05,4.50E-05,0.709704,6.70E-05,0.000112,2.20E-05,0.000112,0.000112,6.70E-05,6.70E-05,0.709704,4.50E-05,0.709704,4.50E-05,2.20E-05,0.000758,2.20E-05,6.70E-05,4.50E-05,0.709704,6.70E-05,succ
大清之祸害,0.000814,0.000355,0.000334,0.00025,0.000188,0.000104,6.30E-05,8.30E-05,0.000271,2.10E-05,0.000334,4.20E-05,0.00025,0.000313,0.000146,0.000209,0.000188,4.20E-05,0.000543,0.000146,2.10E-05,2.10E-05,0.000334,0.000167,8.30E-05,8.30E-05,6.30E-05,0.000188,6.30E-05,0.000146,0.000167,0.705199,2.10E-05,2.10E-05,0.000125,8.30E-05,0.000146,2.10E-05,0.705199,0.000188,2.10E-05,0.000188,4.20E-05,2.10E-05,0.000146,8.30E-05,8.30E-05,0.000146,6.30E-05,0.000125,2.10E-05,4.20E-05,2.10E-05,4.20E-05,0.000355,0.705199,2.10E-05,0.000167,0.000167,0.000188,6.30E-05,2.10E-05,6.30E-05,0.000146,0.000522,4.20E-05,2.10E-05,8.30E-05,0.000146,4.20E-05,2.10E-05,6.30E-05,8.30E-05,6.30E-05,8.30E-05,6.30E-05,0.00023,4.20E-05,0.000146,4.20E-05,0.705199,8.30E-05,0.000104,6.30E-05,0.000209,0.000167,0.705199,6.30E-05,0.000417,0.705199,4.20E-05,2.10E-05,8.30E-05,4.20E-05,4.20E-05,8.30E-05,0.000125,0.705199,4.20E-05,0.000125,0.705199,0.000125,4.20E-05,2.10E-05,0.705199,2.10E-05,2.10E-05,0.000188,0.705199,0.705199,0.000167,0.705199,0.705199,6.30E-05,2.10E-05,4.20E-05,0.00025,0.000543,0.000104,4.20E-05,2.10E-05,4.20E-05,8.30E-05,4.20E-05,0.000125,0.705199,0.705199,2.10E-05,2.10E-05,0.705199,2.10E-05,0.000167,6.30E-05,6.30E-05,2.10E-05,0.705199,2.10E-05,2.10E-05,4.20E-05,2.10E-05,4.20E-05,0.000104,8.30E-05,2.10E-05,4.20E-05,2.10E-05,4.20E-05,4.20E-05,2.10E-05,2.10E-05,6.30E-05,2.10E-05,6.30E-05,2.10E-05,0.705199,6.30E-05,4.20E-05,0.000209,0.705199,2.10E-05,0.000271,2.10E-05,6.30E-05,6.30E-05,0.000146,0.705199,4.20E-05,4.20E-05,2.10E-05,0.000146,0.705199,4.20E-05,8.30E-05,0.000543,2.10E-05,8.30E-05,2.10E-05,0.000104,6.30E-05,4.20E-05,6.30E-05,0.705199,6.30E-05,2.10E-05,2.10E-05,2.10E-05,8.30E-05,4.20E-05,0.000146,0.705199,8.30E-05,4.20E-05,2.10E-05,6.30E-05,8.30E-05,2.10E-05,4.20E-05,6.30E-05,6.30E-05,0.705199,succ
大时代1958,0.00104,0.000304,1.60E-05,0.00064,0.000256,0.000112,3.20E-05,4.80E-05,0.000208,1.60E-05,0.00016,4.80E-05,0.00024,0.000192,0.000144,9.60E-05,0.00016,8.00E-05,0.705424,0.000144,3.20E-05,3.20E-05,6.40E-05,9.60E-05,6.40E-05,6.40E-05,0.00016,0.00016,0.705424,0.00024,9.60E-05,6.40E-05,9.60E-05,0.000112,8.00E-05,0.000432,9.60E-05,1.60E-05,6.40E-05,1.60E-05,0.000112,0.705424,3.20E-05,0.705424,4.80E-05,0.000144,0.705424,0.000288,3.20E-05,8.00E-05,3.20E-05,0.705424,0.001104,0.705424,0.00032,6.40E-05,1.60E-05,9.60E-05,0.000144,9.60E-05,6.40E-05,0.000416,4.80E-05,1.60E-05,0.00088,4.80E-05,4.80E-05,0.000176,4.80E-05,1.60E-05,4.80E-05,0.0004,3.20E-05,0.000144,1.60E-05,1.60E-05,0.00032,1.60E-05,0.000128,0.000176,0.705424,1.60E-05,0.001104,1.60E-05,0.705424,0.00024,0.000112,9.60E-05,0.000192,9.60E-05,1.60E-05,1.60E-05,4.80E-05,1.60E-05,0.000112,6.40E-05,0.705424,0.705424,8.00E-05,6.40E-05,3.20E-05,9.60E-05,4.80E-05,4.80E-05,0.705424,0.000144,0.705424,6.40E-05,0.705424,3.20E-05,3.20E-05,0.705424,0.705424,3.20E-05,0.000144,1.60E-05,0.00016,9.60E-05,0.000144,9.60E-05,1.60E-05,8.00E-05,3.20E-05,0.705424,0.705424,0.705424,3.20E-05,8.00E-05,0.705424,0.705424,1.60E-05,1.60E-05,4.80E-05,8.00E-05,3.20E-05,0.705424,0.705424,6.40E-05,6.40E-05,1.60E-05,3.20E-05,6.40E-05,0.000176,0.705424,0.00024,4.80E-05,1.60E-05,0.705424,4.80E-05,0.000656,8.00E-05,1.60E-05,3.20E-05,0.000192,4.80E-05,1.60E-05,0.705424,3.20E-05,0.705424,3.20E-05,1.60E-05,4.80E-05,1.60E-05,1.60E-05,6.40E-05,1.60E-05,0.000128,0.000112,1.60E-05,0.000176,0.705424,1.60E-05,0.000128,0.000512,1.60E-05,9.60E-05,3.20E-05,4.80E-05,1.60E-05,3.20E-05,4.80E-05,1.60E-05,3.20E-05,1.60E-05,3.20E-05,8.00E-05,0.000128,3.20E-05,0.000144,4.80E-05,9.60E-05,3.20E-05,1.60E-05,4.80E-05,0.0012,0.000352,3.20E-05,1.60E-05,1.60E-05,0.705424,succ
大宋的智慧,0.000657,0.000986,2.30E-05,0.000329,0.000352,0.000305,0.001385,7.00E-05,0.000164,2.30E-05,0.000305,0.000141,0.000117,0.000305,7.00E-05,0.000141,9.40E-05,2.30E-05,0.698974,0.000235,7.00E-05,0.000117,0.000211,9.40E-05,9.40E-05,9.40E-05,0.000164,0.000164,0.000211,0.000211,0.000352,0.000117,7.00E-05,9.40E-05,0.000235,7.00E-05,7.00E-05,7.00E-05,0.000141,0.000211,0.000141,2.30E-05,2.30E-05,4.70E-05,0.000164,2.30E-05,2.30E-05,4.70E-05,0.000235,7.00E-05,0.005188,4.70E-05,0.001432,4.70E-05,2.30E-05,0.698974,0.000211,0.000164,0.000211,9.40E-05,0.000235,4.70E-05,2.30E-05,0.000141,0.000376,4.70E-05,7.00E-05,0.000141,2.30E-05,4.70E-05,2.30E-05,4.70E-05,0.000117,4.70E-05,9.40E-05,2.30E-05,4.70E-05,4.70E-05,7.00E-05,4.70E-05,2.30E-05,9.40E-05,9.40E-05,0.000141,2.30E-05,4.70E-05,4.70E-05,4.70E-05,0.000188,0.000117,4.70E-05,9.40E-05,7.00E-05,2.30E-05,7.00E-05,9.40E-05,2.30E-05,0.698974,0.698974,0.000141,0.000188,2.30E-05,7.00E-05,0.698974,0.698974,2.30E-05,0.698974,0.000211,9.40E-05,2.30E-05,4.70E-05,0.698974,7.00E-05,0.000117,0.698974,2.30E-05,0.000282,4.70E-05,0.000164,0.000141,0.001432,9.40E-05,2.30E-05,0.000188,0.000141,0.698974,0.000164,0.000235,4.70E-05,2.30E-05,0.000188,2.30E-05,7.00E-05,0.000117,4.70E-05,0.000258,4.70E-05,2.30E-05,4.70E-05,2.30E-05,0.000141,9.40E-05,2.30E-05,0.698974,7.00E-05,2.30E-05,4.70E-05,0.698974,2.30E-05,2.30E-05,0.000117,4.70E-05,0.000164,0.000399,0.000329,7.00E-05,0.698974,0.000329,0.698974,0.000258,4.70E-05,2.30E-05,2.30E-05,2.30E-05,0.000117,0.698974,0.001221,7.00E-05,0.698974,7.00E-05,2.30E-05,4.70E-05,7.00E-05,0.00061,2.30E-05,9.40E-05,0.000188,0.000117,2.30E-05,0.000141,0.000117,0.698974,2.30E-05,0.698974,7.00E-05,0.698974,0.000117,9.40E-05,2.30E-05,4.70E-05,0.000329,4.70E-05,2.30E-05,7.00E-05,0.002207,9.40E-05,0.698974,4.70E-05,4.70E-05,2.30E-05,succ
大宋的最强纨绔子弟,0.000822,0.000411,5.10E-05,0.000103,0.000385,0.000565,0.000616,7.70E-05,0.000514,0.000205,5.10E-05,2.60E-05,2.60E-05,0.000462,5.10E-05,0.000128,7.70E-05,0.00018,0.702101,0.000205,0.000128,2.60E-05,0.000231,7.70E-05,5.10E-05,5.10E-05,2.60E-05,7.70E-05,2.60E-05,2.60E-05,0.000154,2.60E-05,7.70E-05,0.000154,0.000103,0.000128,2.60E-05,2.60E-05,0.000128,0.000103,0.000128,2.60E-05,2.60E-05,0.702101,0.000231,0.00018,5.10E-05,2.60E-05,0.702101,7.70E-05,0.000154,0.702101,0.002363,0.702101,0.000462,0.702101,5.10E-05,5.10E-05,0.000103,7.70E-05,2.60E-05,0.000848,5.10E-05,0.000103,2.60E-05,2.60E-05,5.10E-05,7.70E-05,2.60E-05,5.10E-05,2.60E-05,0.702101,0.000205,2.60E-05,5.10E-05,7.70E-05,0.702101,2.60E-05,5.10E-05,2.60E-05,0.702101,2.60E-05,2.60E-05,5.10E-05,2.60E-05,0.000565,2.60E-05,7.70E-05,0.000848,5.10E-05,0.000103,5.10E-05,2.60E-05,2.60E-05,5.10E-05,2.60E-05,2.60E-05,0.702101,0.702101,2.60E-05,0.702101,0.000154,2.60E-05,2.60E-05,5.10E-05,0.000283,7.70E-05,2.60E-05,0.702101,2.60E-05,5.10E-05,2.60E-05,2.60E-05,0.000205,2.60E-05,5.10E-05,0.000103,0.000488,5.10E-05,5.10E-05,0.002363,0.000283,0.00018,2.60E-05,0.702101,0.702101,0.000103,0.000154,2.60E-05,2.60E-05,5.10E-05,2.60E-05,5.10E-05,5.10E-05,2.60E-05,2.60E-05,2.60E-05,0.000205,7.70E-05,2.60E-05,2.60E-05,0.000154,2.60E-05,2.60E-05,0.702101,2.60E-05,2.60E-05,0.000205,0.702101,0.000103,2.60E-05,0.702101,5.10E-05,0.000719,0.00036,0.000103,0.702101,2.60E-05,0.702101,0.000103,5.10E-05,0.000154,0.000308,2.60E-05,2.60E-05,2.60E-05,2.60E-05,5.10E-05,0.702101,2.60E-05,0.702101,0.702101,7.70E-05,0.000873,2.60E-05,5.10E-05,2.60E-05,7.70E-05,5.10E-05,2.60E-05,2.60E-05,0.702101,2.60E-05,2.60E-05,0.000128,2.60E-05,2.60E-05,2.60E-05,0.702101,0.702101,7.70E-05,0.001721,0.000128,5.10E-05,0.001926,0.001181,5.10E-05,2.60E-05,5.10E-05,0.702101,succ
大宋帝国风云录,0.000997,0.000617,0.000435,0.000109,0.00029,0.000272,0.000145,9.10E-05,0.000254,1.80E-05,0.000145,1.80E-05,0.000254,0.000453,0.000163,0.000181,0.000199,3.60E-05,0.000236,0.000181,1.80E-05,1.80E-05,0.000272,5.40E-05,5.40E-05,5.40E-05,0.000181,0.000272,3.60E-05,1.80E-05,1.80E-05,1.80E-05,0.000181,0.000236,0.000181,0.000109,0.000181,3.60E-05,0.000145,1.80E-05,0.000181,0.000544,1.80E-05,0.000109,0.000181,1.80E-05,5.40E-05,0.713897,1.80E-05,9.10E-05,0.000109,0.000109,7.30E-05,0.000109,0.000109,3.60E-05,9.10E-05,7.30E-05,0.000218,3.60E-05,3.60E-05,0.001342,9.10E-05,0.000199,9.10E-05,1.80E-05,1.80E-05,9.10E-05,0.000145,5.40E-05,3.60E-05,0.000254,0.000109,5.40E-05,1.80E-05,5.40E-05,0.713897,5.40E-05,7.30E-05,0.000127,0.713897,3.60E-05,7.30E-05,1.80E-05,1.80E-05,7.30E-05,3.60E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,0.713897,3.60E-05,3.60E-05,7.30E-05,9.10E-05,0.00029,1.80E-05,5.40E-05,0.713897,5.40E-05,1.80E-05,1.80E-05,0.000163,3.60E-05,0.713897,0.713897,1.80E-05,0.000145,9.10E-05,3.60E-05,0.000127,3.60E-05,0.713897,5.40E-05,7.30E-05,5.40E-05,1.80E-05,9.10E-05,7.30E-05,0.000236,0.000199,7.30E-05,0.000145,9.10E-05,0.713897,1.80E-05,1.80E-05,1.80E-05,3.60E-05,7.30E-05,3.60E-05,1.80E-05,1.80E-05,0.000181,0.713897,1.80E-05,3.60E-05,0.000109,3.60E-05,3.60E-05,0.000127,3.60E-05,7.30E-05,1.80E-05,5.40E-05,3.60E-05,7.30E-05,3.60E-05,3.60E-05,0.000109,0.000145,0.000272,9.10E-05,5.40E-05,0.713897,9.10E-05,0.713897,0.000109,7.30E-05,0.000218,0.000127,1.80E-05,3.60E-05,1.80E-05,1.80E-05,3.60E-05,0.713897,9.10E-05,1.80E-05,1.80E-05,0.000109,0.001124,5.40E-05,3.60E-05,7.30E-05,0.000109,1.80E-05,1.80E-05,3.60E-05,0.713897,1.80E-05,1.80E-05,1.80E-05,7.30E-05,3.60E-05,0.000689,0.713897,1.80E-05,5.40E-05,0.000109,5.40E-05,5.40E-05,0.001614,9.10E-05,1.80E-05,5.40E-05,9.10E-05,1.80E-05,succ
大宋帝国征服史,0.000122,0.000153,0.000412,7.60E-05,0.000153,0.000137,0.000107,4.60E-05,9.20E-05,1.50E-05,3.10E-05,4.60E-05,1.50E-05,4.60E-05,0.000107,6.10E-05,6.10E-05,4.60E-05,0.00026,0.000122,4.60E-05,1.50E-05,7.60E-05,1.50E-05,1.50E-05,1.50E-05,3.10E-05,0.000122,0.000199,4.60E-05,0.000107,1.50E-05,4.60E-05,1.50E-05,1.50E-05,3.10E-05,1.50E-05,6.10E-05,9.20E-05,3.10E-05,1.50E-05,0.000443,3.10E-05,1.50E-05,4.60E-05,0.000122,1.50E-05,0.709014,9.20E-05,9.20E-05,1.50E-05,4.60E-05,1.50E-05,0.709014,0.000153,6.10E-05,1.50E-05,1.50E-05,4.60E-05,9.20E-05,4.60E-05,0.000458,6.10E-05,0.000107,0.000107,1.50E-05,6.10E-05,0.000122,0.000122,1.50E-05,6.10E-05,4.60E-05,3.10E-05,6.10E-05,0.000107,4.60E-05,0.709014,1.50E-05,3.10E-05,0.000122,0.709014,6.10E-05,0.001634,4.60E-05,0.000199,3.10E-05,0.709014,1.50E-05,0.000993,9.20E-05,3.10E-05,0.709014,1.50E-05,7.60E-05,9.20E-05,1.50E-05,0.000321,3.10E-05,0.709014,1.50E-05,0.000229,1.50E-05,3.10E-05,3.10E-05,6.10E-05,3.10E-05,0.000214,0.000168,0.709014,3.10E-05,1.50E-05,0.709014,1.50E-05,3.10E-05,0.709014,7.60E-05,1.50E-05,0.000244,1.50E-05,0.709014,0.001634,7.60E-05,6.10E-05,7.60E-05,3.10E-05,0.709014,0.000351,4.60E-05,0.709014,0.709014,1.50E-05,1.50E-05,1.50E-05,4.60E-05,4.60E-05,0.709014,0.709014,0.709014,1.50E-05,1.50E-05,4.60E-05,0.709014,0.000122,0.709014,0.709014,0.001634,3.10E-05,0.709014,6.10E-05,1.50E-05,0.709014,0.709014,7.60E-05,0.000122,0.000122,4.60E-05,0.709014,0.000122,6.10E-05,3.10E-05,1.50E-05,3.10E-05,4.60E-05,0.000107,9.20E-05,4.60E-05,0.001008,3.10E-05,0.709014,1.50E-05,0.709014,0.709014,4.60E-05,0.000244,1.50E-05,6.10E-05,1.50E-05,4.60E-05,6.10E-05,1.50E-05,1.50E-05,1.50E-05,0.000275,1.50E-05,4.60E-05,7.60E-05,1.50E-05,1.50E-05,0.709014,3.10E-05,3.10E-05,0.709014,1.50E-05,0.709014,0.001115,0.000214,1.50E-05,4.60E-05,6.10E-05,4.60E-05,succ
大宋海贼,0.00104,0.000368,0.000217,0.000195,0.000195,0.000628,0.000585,2.20E-05,0.000173,0.000628,0.000758,6.50E-05,0.00026,0.000477,0.00026,8.70E-05,0.000152,2.20E-05,6.50E-05,0.000152,8.70E-05,2.20E-05,0.000217,0.00013,8.70E-05,0.00013,0.00013,0.00013,4.30E-05,0.00013,0.000477,6.50E-05,0.000152,2.20E-05,6.50E-05,6.50E-05,0.000152,4.30E-05,0.000217,0.000238,8.70E-05,8.70E-05,2.20E-05,0.69735,0.000282,6.50E-05,2.20E-05,0.000108,0.00013,0.000238,4.30E-05,2.20E-05,0.000238,0.69735,0.000282,8.70E-05,0.000238,8.70E-05,0.000108,6.50E-05,0.000433,4.30E-05,4.30E-05,8.70E-05,8.70E-05,0.69735,2.20E-05,0.000108,0.000108,8.70E-05,4.30E-05,0.69735,4.30E-05,4.30E-05,4.30E-05,4.30E-05,0.000585,0.000108,2.20E-05,0.000108,0.69735,0.000195,2.20E-05,0.000217,6.50E-05,2.20E-05,4.30E-05,0.000152,0.000217,2.20E-05,6.50E-05,0.00013,8.70E-05,8.70E-05,6.50E-05,0.000152,2.20E-05,0.00013,4.30E-05,0.000152,0.69735,2.20E-05,2.20E-05,8.70E-05,0.69735,4.30E-05,2.20E-05,6.50E-05,2.20E-05,2.20E-05,4.30E-05,0.69735,0.000152,4.30E-05,8.70E-05,8.70E-05,4.30E-05,0.000477,0.000412,6.50E-05,0.002036,0.00013,4.30E-05,0.000152,2.20E-05,0.69735,0.000238,2.20E-05,2.20E-05,2.20E-05,8.70E-05,2.20E-05,4.30E-05,8.70E-05,8.70E-05,2.20E-05,0.69735,6.50E-05,4.30E-05,2.20E-05,4.30E-05,0.000152,2.20E-05,2.20E-05,0.69735,2.20E-05,2.20E-05,0.69735,2.20E-05,2.20E-05,0.000108,2.20E-05,8.70E-05,2.20E-05,6.50E-05,2.20E-05,2.20E-05,2.20E-05,4.30E-05,0.00013,2.20E-05,2.20E-05,6.50E-05,8.70E-05,0.000282,0.69735,4.30E-05,6.50E-05,0.69735,0.00013,0.69735,0.69735,4.30E-05,0.00052,2.20E-05,4.30E-05,0.000152,6.50E-05,4.30E-05,0.69735,2.20E-05,0.69735,0.000108,4.30E-05,8.70E-05,6.50E-05,2.20E-05,8.70E-05,0.69735,0.69735,0.000282,0.69735,2.20E-05,0.000108,0.0026,2.20E-05,2.20E-05,8.70E-05,8.70E-05,0.69735,succ
大宋好屠夫,0.000484,0.000652,0.000335,0.000112,0.000484,3.70E-05,0.000112,9.30E-05,0.000223,9.30E-05,0.701127,9.30E-05,0.000168,0.000168,5.60E-05,7.40E-05,0.000149,3.70E-05,0.000931,0.000168,1.90E-05,3.70E-05,0.000223,9.30E-05,9.30E-05,0.000186,0.000149,5.60E-05,5.60E-05,5.60E-05,0.000205,1.90E-05,1.90E-05,7.40E-05,3.70E-05,1.90E-05,7.40E-05,1.90E-05,0.701127,0.000354,9.30E-05,0.000335,7.40E-05,1.90E-05,9.30E-05,5.60E-05,0.000708,0.701127,1.90E-05,0.000168,0.004898,0.701127,3.70E-05,0.701127,1.90E-05,0.701127,1.90E-05,5.60E-05,3.70E-05,0.000279,3.70E-05,3.70E-05,3.70E-05,0.000149,9.30E-05,5.60E-05,3.70E-05,3.70E-05,3.70E-05,7.40E-05,1.90E-05,9.30E-05,3.70E-05,5.60E-05,3.70E-05,0.000149,3.70E-05,0.000186,1.90E-05,3.70E-05,0.701127,1.90E-05,3.70E-05,7.40E-05,0.000112,1.90E-05,0.701127,7.40E-05,0.000689,3.70E-05,7.40E-05,3.70E-05,1.90E-05,1.90E-05,0.000149,5.60E-05,0.00041,3.70E-05,0.000149,1.90E-05,1.90E-05,7.40E-05,9.30E-05,5.60E-05,9.30E-05,1.90E-05,0.701127,0.000186,0.701127,3.70E-05,0.000242,1.90E-05,0.000205,1.90E-05,0.701127,7.40E-05,9.30E-05,0.000186,0.701127,0.000149,1.90E-05,0.000242,1.90E-05,7.40E-05,0.000223,9.30E-05,0.701127,3.70E-05,0.701127,0.701127,1.90E-05,1.90E-05,1.90E-05,3.70E-05,1.90E-05,0.701127,1.90E-05,7.40E-05,0.701127,1.90E-05,7.40E-05,5.60E-05,3.70E-05,1.90E-05,0.701127,0.001285,3.70E-05,1.90E-05,9.30E-05,3.70E-05,0.701127,0.701127,3.70E-05,0.000223,7.40E-05,1.90E-05,0.701127,3.70E-05,0.701127,0.00013,0.000205,9.30E-05,5.60E-05,9.30E-05,5.60E-05,0.701127,7.40E-05,5.60E-05,1.90E-05,3.70E-05,0.701127,0.701127,9.30E-05,1.90E-05,1.90E-05,7.40E-05,1.90E-05,3.70E-05,3.70E-05,1.90E-05,0.701127,0.701127,0.701127,1.90E-05,1.90E-05,5.60E-05,1.90E-05,1.90E-05,1.90E-05,0.701127,1.90E-05,0.701127,1.90E-05,0.000186,0.000298,0.000931,0.00013,1.90E-05,0.701127,1.90E-05,succ
